time,interface_position,left_temperature,right_temperature
25.0,0.0022001627274293787,10.0,0.0
100.0,0.0044003254548587575,10.0,0.0
225.0,0.006600488182288137,10.0,0.0
400.0,0.008800650909717515,10.0,0.0
625.0,0.011000813637146896,10.0,0.0
