x,time,depth,velocity
-5.0,0.5,1.0,0.0
-2.0,0.5,1.0,0.0
-1.6,0.5,1.0,0.0
-1.55,0.5,0.9931808836011693,0.021394635115443705
-1.25,0.5,0.8699843643304074,0.4213946351154432
-1.0,0.5,0.773550069332714,0.7547279684487771
-0.75,0.5,0.6827789298452711,1.0880613017821101
-0.5,0.5,0.5976709458680787,1.4213946351154432
-0.25,0.5,0.5182261174011363,1.754727968448777
0.0,0.5,0.4444444444444445,2.08806130178211
0.25,0.5,0.3961748167994429,2.3213549956407444
0.5,0.5,0.3961748167994429,2.3213549956407444
0.75,0.5,0.3961748167994429,2.3213549956407444
1.0,0.5,0.3961748167994429,2.3213549956407444
1.25,0.5,0.3961748167994429,2.3213549956407444
1.5,0.5,0.3961748167994429,2.3213549956407444
1.75,0.5,0.1,0.0
2.0,0.5,0.1,0.0
2.25,0.5,0.1,0.0
2.5,0.5,0.1,0.0
3.0,0.5,0.1,0.0
5.0,0.5,0.1,0.0
